Symbol,Description,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time,Analyst Rating,Technical Rating 5 minutes
GTLS,"Chart Industries, Inc.",Mid caps,0.2571317679021934,0.4220842227828471,8824214289.0,206.12,206.99,Industrial machinery,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Producer manufacturing,NYSE,2024-11-01,2025-02-26,42564251.1974,672280.7,779105.5,810646.9888888889,2.0874772280119314,8.470713228691043,4.295506967476014,1.9146599344586317,Buy,Sell
WNS,WNS (Holdings) Limited,Mid caps,0.2109704641350241,1.898734177215187,2056010506.0,47.4,48.3,Miscellaneous commercial services,"Russell 2000, Russell 3000, Mini-Russell 2000",Commercial services,NYSE,2024-10-17,2025-01-23,37581313.7398,391197.7,504337.43333333335,495232.2111111111,0.9329679762070632,15.651998746586688,4.37471684962537,1.0857412651318554,Buy,Sell
AYI,"Acuity Brands, Inc.",Mid caps,0.2080894784757401,0.728313174665109,9528757664.0,307.56,309.8,Electrical products,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Clean Edge Green Energy",Producer manufacturing,NYSE,2024-10-01,2025-01-08,30852203.1306,415312.4,313925.26666666666,277197.93333333335,1.5703561686856229,7.517559418233416,3.180739260739261,2.335257031468683,Buy,Strong buy
AXTA,Axalta Coating Systems Ltd.,Mid caps,0.2024877061035588,1.2438530517789983,7538446406.0,34.57,35.0,Industrial specialties,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Process industries,NYSE,2024-10-30,2025-01-29,217220404.568,2001425.0,1786040.0333333334,1951834.211111111,1.0808589335251206,8.589830791854602,7.25821920633611,1.1658390974726625,Buy,Strong buy
W,Wayfair Inc.,Mid caps,0.1237368529593631,0.4537017941843655,6076721306.000001,48.49,48.71,Specialty stores,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Retail trade,NYSE,2024-11-01,2025-02-20,90010177.1037,2720233.3,3601022.933333333,4465474.9,1.539567143071033,9.382095604266196,2.98559766692769,1.6854871887880214,Buy,Strong buy
ONTO,Onto Innovation Inc.,Mid caps,0.0571755288736491,2.2558345028327897,9502392216.0,192.39,196.73,Electronic equipment/Instruments,"PHLX Semiconductor Sector, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Electronic technology,NYSE,2024-10-31,2025-02-06,48989600.5571,658716.5,702648.5333333333,713503.9777777778,1.9274083967830655,6.92943607912607,2.074900065593444,2.8932363207979876,Strong buy,Sell
TKR,Timken Company (The),Mid caps,0.0542299349240672,0.8676789587852501,5171847276.0,73.76,74.4,Industrial machinery,"S&P MidCap 400, Russell 3000, Russell 1000",Producer manufacturing,NYSE,2024-11-05,2025-02-10,63158839.1892,482907.6,483888.43333333335,509647.4444444445,1.7240162433300643,6.603590972818959,6.1449351528539875,2.1301458894902487,Buy,Buy
RGEN,Repligen Corporation,Mid caps,0.0389509218384849,1.2723967800571332,8630356461.0,154.04,156.0,Pharmaceuticals: major,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Health technology,NASDAQ,2024-11-12,2025-02-19,52125112.665400006,451763.0,474109.3333333333,640401.2666666667,1.029825940532054,5.618651064288022,2.370506441727899,1.5812899229296389,Buy,Buy
MKSI,"MKS Instruments, Inc.",Mid caps,0.0174535299764342,0.0174535299764342,7711784708.000001,114.59,114.61,Industrial machinery,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Industrials",Producer manufacturing,NASDAQ,2024-11-06,2025-02-04,66919468.80179999,745675.2,734340.5333333333,824369.9666666667,1.7161261269745332,6.113066906151774,6.684836734006573,2.055329158859706,Buy,Sell
ARCB,ArcBest Corporation,Mid caps,0.0103412616339099,1.344364012409511,2262737655.0,96.7,98.0,Trucking,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Transportation, Mini-Russell 2000",Transportation,NASDAQ,2024-11-01,2025-01-31,22968204.9744,309834.4,257759.0,270540.4666666667,0.803961537524382,5.066425120772947,3.5647198753178575,0.761981065260348,Buy,Sell
