Symbol,Description,Price,Price - Currency,Industry,Market capitalization,Market capitalization - Currency,Enterprise value,Enterprise value - Currency,Price to sales ratio,"Total revenue, Annual","Total revenue, Annual - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Revenue per employee, Annual","Revenue per employee, Annual - Currency"
ANAB,"AnaptysBio, Inc.",30.49,USD,Biotechnology,920792289.4314704,USD,995423001,USD,28.753738719522136,17157000,USD,-152654000,USD,146641.025641026,USD
CLDX,"Celldex Therapeutics, Inc.",27.97,USD,Biotechnology,1854063945.7491648,USD,991318601.9999999,USD,214.31125632377695,6883000,USD,-160193000,USD,43018.75,USD
CSBTF,Kuros Bioscience Ltd.,29,USD,Biotechnology,1031511295.298969,USD,985013549.0988,USD,17.75692050624237,39865305.36,USD,-2561626.9000000004,USD,7973061.072,USD
CALZF,Polynovo Ltd.,1.3,USD,Biotechnology,897982577.488372,USD,960245430.4296,USD,14.427349474237054,68787787.2,USD,2037129.5999999999,USD,270818.0598425196,USD
BEAM,Beam Therapeutics Inc.,22.35,USD,Biotechnology,1841989016.7703016,USD,933128524,USD,5.03119595381871,377709000,USD,-160592000,USD,866305.04587156,USD
DVAX,Dynavax Technologies Corporation,11.39,USD,Biotechnology,1492595583.0634918,USD,923154399,USD,6.6254922205090185,232284000,USD,-4760000,USD,569323.529411765,USD
IRON,"Disc Medicine, Inc.",46.19,USD,Biotechnology,1373032958.2045207,USD,868574321,USD,,0,USD,-110800000,USD,0,USD
KURA,"Kura Oncology, Inc.",17.73,USD,Biotechnology,1358729542.2284408,USD,867083954,USD,,0,USD,-199225000,USD,0,USD
CDMO,"Avid Bioservices, Inc.",10.1,USD,Biotechnology,644330598.88,USD,808604088,USD,4.470349400806412,139911000,USD,-7474000,USD,377118.598382749,USD
TYRA,"Tyra Biosciences, Inc.",19.89,USD,Biotechnology,1050314080.8837211,USD,790641602,USD,,0,USD,-95019000,USD,0,USD
BCYC,Bicycle Therapeutics plc,24.79,USD,Biotechnology,1704916883,USD,786289883.000001,USD,32.47806488827878,27080560.906402,USD,-210548670,USD,95354.0876985986,USD
MBX,"MBX Biosciences, Inc.",19.86,USD,Biotechnology,631905375.2768362,USD,773283208,USD,,0,USD,,,,
AUPH,Aurinia Pharmaceuticals Inc,7.24,USD,Biotechnology,1035254627.4212767,USD,763594343,USD,4.905605852091013,175513000.00007,USD,-25550000,USD,585043.3333335669,USD
AUTL,Autolus Therapeutics plc,4.55,USD,Biotechnology,1181200424,USD,762925424,USD,112.52305196913414,1698000,USD,-178745000,USD,3667.38660907127,USD
NVAX,"Novavax, Inc.",10.25,USD,Biotechnology,1640959823.8840432,USD,733277535.0000001,USD,1.6364391793995354,983705000,USD,-240560000,USD,637527.543745949,USD
CRMD,CorMedix Inc.,13.59,USD,Biotechnology,784971490.796779,USD,708187173,USD,932.0925334348867,0,USD,-57864910,USD,0,USD
OPT,Opthea Limited,4.48,USD,Biotechnology,670635698.3502,USD,698793143.3502,USD,2827.536126982343,125122.98988100002,USD,-192560700,USD,,
CKDXF,Opthea Limited,0.57,USD,Biotechnology,701723914.4,USD,698740441.6863502,USD,1548.2023050951043,126818.08306983802,USD,-195167321.31599998,USD,,
