date,company,cik,ticker,industry
2023-12-18,"Mynd.ai, Inc.",1708441,MYND,"Computer Peripheral Equipment, NEC"
2023-12-18,SouthState Corp,764038,SSB,State Commercial Banks
2023-12-12,"Volato Group, Inc.",1853070,SOAR,"Air Transportation, Nonscheduled"
2023-12-11,CITIZENS HOLDING CO /MS/,1075706,CIZN,State Commercial Banks
2023-12-08,SMARTFINANCIAL INC.,1038773,SMBK,National Commercial Banks
2023-11-27,AENZA S.A.A.,1572621,,
2023-11-24,Listed Funds Trust,1683471,,
2023-11-21,"Kubient, Inc.",1729750,KBNT,Services-Computer Integrated Systems Design
2023-11-20,EA Series Trust,1592900,,
2023-11-20,EA Series Trust,1592900,,
2023-11-20,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,746515,EXPD,Arrangement of  Transportation of  Freight & Cargo
2023-11-17,Virtus ETF Trust II,1648403,,
2023-11-13,EntrepreneurShares Series Trust,1495922,,
2023-11-09,BANCO ITAU CHILE,1276671,,
2023-11-06,PyroGenesis Canada Inc.,1743344,PYRGF,Pharmaceutical Preparations
2023-11-06,LINDE PLC,1707925,LIN,Industrial Inorganic Chemicals
2023-11-03,"OVERSTOCK.COM, INC",1130713,BYON,Retail-Catalog & Mail-Order Houses
2023-11-01,PARK CITY GROUP INC,50471,TRAK,Services-Computer Processing & Data Preparation
2023-10-30,Ozon Holdings PLC,1822829,,
2023-10-30,Enthusiast Gaming Holdings Inc. / Canada,1854233,EGLXF,Services-Amusement & Recreation Services
2023-10-19,Athena Consumer Acquisition Corp.,1869141,,
2023-10-19,AMERICAN CENTURY ETF TRUST,1710607,,
2023-10-17,"Firsthand Technology Value Fund, Inc.",1495584,SVVC,
2023-10-16,10X Capital Venture Acquisition Corp. III,1848948,,
2023-10-12,Boqii Holding Ltd,1815021,BQ,"Retail-Retail Stores, NEC"
2023-10-06,RENASANT CORP,715072,RNST,State Commercial Banks
2023-10-05,FAST Acquisition Corp. II,1839824,,
2023-09-29,Graf Acquisition Corp. IV,1845459,NKGN,"Biological Products, (No Diagnostic Substances)"
2023-09-26,"DoorDash, Inc.",1792789,DASH,"Services-Business Services, NEC"
2023-09-25,"COOPER COMPANIES, INC.",711404,COO,Ophthalmic Goods
2023-09-22,"Blue Apron Holdings, Inc.",1701114,,
2023-09-05,BANK OF SOUTH CAROLINA CORP,1007273,BKSC,State Commercial Banks
2023-09-01,illumin Holdings Inc.,1861233,ILLMF,Services-Computer Processing & Data Preparation
2023-08-28,Amerant Bancorp Inc.,1734342,AMTB,National Commercial Banks
2023-08-25,Mobile Infrastructure Corp,1847874,BEEP,Real Estate
2023-08-21,Black Spade Acquisition Co,1851908,,
2023-08-21,First Foundation Inc.,1413837,FFWM,State Commercial Banks
2023-08-18,SEACHANGE INTERNATIONAL INC,1019671,SEAC,Services-Prepackaged Software
2023-08-16,"Aceragen, Inc.",861838,,
2023-08-14,"Mid-Southern Bancorp, Inc.",1734875,MSVB,"Savings Institution, Federally Chartered"
