date,company,cik,form
2022-10-13,IndexIQ ETF Trust,1415995,25
2022-10-11,PMV Consumer Acquisition Corp.,1807765,25
2022-10-07,"Dream Finders Homes, Inc.",1825088,25
2022-10-03,FOXO TECHNOLOGIES INC.,1812360,25
2022-09-26,FOXO TECHNOLOGIES INC.,1812360,25
2022-09-26,"GAMCO INVESTORS, INC. ET AL",1060349,25
2022-09-23,RBC Bearings INC,1324948,25
2022-09-20,Zealand Pharma A/S,1674988,25
2022-09-13,Arrow Investments Trust,1527428,25
2022-09-13,Arrow Investments Trust,1527428,25
2022-09-12,Permian Resources Corp,1658566,25
2022-09-12,Burcon NutraScience Corp,1158399,25
2022-09-08,"Vivani Medical, Inc.",1266806,25
2022-09-02,J.P. Morgan Exchange-Traded Fund Trust,1485894,25
2022-09-01,ALJ REGIONAL HOLDINGS INC,1438731,25
2022-08-30,CRYO CELL INTERNATIONAL INC,862692,25
2022-08-29,PETROCHINA CO LTD,1108329,25
2022-08-29,CHINA PETROLEUM & CHEMICAL CORP,1123658,25
2022-08-26,SINOPEC SHANGHAI PETROCHEMICAL CO LTD,908732,25
2022-08-22,ALUMINUM CORP OF CHINA LTD,1161611,25
2022-08-22,"LMP Automotive Holdings, Inc.",1731727,25
2022-08-22,CHINA LIFE INSURANCE CO LTD,1268896,25
2022-08-17,UNITED BANCSHARES INC/OH,1087456,25
2022-08-16,Skylight Health Group Inc.,1839730,25
2022-08-15,"Rubicon Technologies, Inc.",1862068,25
2022-08-03,L&F Acquisition Corp.,1823575,25
2022-08-01,Gobi Acquisition Corp.,1854593,25
2022-07-29,SILGAN HOLDINGS INC,849869,25
2022-07-29,Duddell Street Acquisition Corp.,1823466,25
2022-07-29,GENCOR INDUSTRIES INC,64472,25
2022-07-27,Global Synergy Acquisition Corp.,1823707,25
2022-07-11,ENEL AMERICAS S.A.,912505,25
2022-07-11,L&F Acquisition Corp.,1823575,25
2022-06-29,Global X Funds,1432353,25
2022-06-27,HUANENG POWER INTERNATIONAL INC,929058,25
2022-06-15,Oaktree Acquisition Corp. II,1820931,25
2022-06-13,Sitio Royalties Corp.,1703785,25
2022-06-10,ENEL AMERICAS S.A.,912505,25
2022-06-03,WVS FINANCIAL CORP,910679,25
2022-06-02,"GENOCEA BIOSCIENCES, INC.",1457612,25
