Symbol,Description,marketCapType,marketCapType,Pre-market Change %,Pre-market Gap %,Market capitalization,Price,Pre-market Open,Relative Volume 5 minutes,Industry,yahooPrice,RSI,MA5,MA20,MA50,MACD,Volume,Date
SMPL,The Simply Good Foods Company,Mid caps,Mid caps,1.124169647419514,1.124169647419514,3922670808.0,39.14,39.58,7.421418348105764,Food: major diversified,39.11000061035156,75.62304229648734,38.1479995727539,35.89949970245361,34.638999710083006,1.2652808632719186,1582400,2024-11-21 00:00:00-05:00
CC,Chemours Company (The),Mid caps,Mid caps,1.0909090909090953,1.2987012987012987,2876152264.0,19.25,19.5,13.99611073110341,Chemicals: specialty,20.799999237060547,63.34388957473633,19.367999649047853,19.074912452697752,19.0919038772583,0.18168474016479053,2740100,2024-11-21 00:00:00-05:00
RMBS,"Rambus, Inc.",Mid caps,Mid caps,1.01983002832861,0.5240793201133074,5643169600.0,52.95,53.2275,8.912199291732811,Semiconductors,54.4900016784668,63.09496782580154,52.7260009765625,51.82399978637695,45.380800094604496,2.431556472986294,630000,2024-11-21 00:00:00-05:00
LNTH,"Lantheus Holdings, Inc.",Mid caps,Mid caps,0.9408906882591108,0.6246385193753523,6010595124.0,86.45,86.99,7.260462041729521,Medical specialties,87.31999969482422,41.15775592276183,81.25,94.55824966430664,103.4299998474121,-7.190012731839275,1483900,2024-11-21 00:00:00-05:00
AVAV,"AeroVironment, Inc.",Mid caps,Mid caps,0.8369466572552167,1.169708581224157,5594053607.0,198.34,200.66,4.632474510884541,Aerospace & defense,194.25999450683594,36.9437547495752,196.9239990234375,213.63850021362305,207.21640014648438,-3.522636349742612,536800,2024-11-21 00:00:00-05:00
BRKR,Bruker Corporation,Mid caps,Mid caps,0.7869589657110768,0.7869589657110768,8090797698.000001,53.37,53.79,6.914411468926299,Medical specialties,56.220001220703125,47.75699228154169,51.70999984741211,56.4170000076294,61.63460037231445,-2.530391819541407,2660200,2024-11-21 00:00:00-05:00
MWA,MUELLER WATER PRODUCTS,Mid caps,Mid caps,0.7252215954875089,0.7252215954875089,3866858696.0,24.82,25.0,4.925230202578269,Industrial machinery,24.969999313354492,65.67446126450211,24.587999725341795,23.617886543273926,22.44791072845459,0.7657258969111993,927200,2024-11-21 00:00:00-05:00
QGEN,Qiagen N.V.,Mid caps,Mid caps,0.688999762413873,0.2613447374673305,9337540269.0,42.09,42.2,12.376148459452676,Medical specialties,42.33000183105469,46.7828422478511,41.49600067138672,42.57300033569336,43.50600006103516,-0.4504503056819331,960300,2024-11-21 00:00:00-05:00
TKC,Turkcell Iletisim Hizmetleri AS,Mid caps,Mid caps,0.5899705014749268,0.7374631268436552,5873166950.8842,6.78,6.83,3.474116038288728,Wireless telecommunications,6.829999923706055,61.85459521166902,6.733999919891358,6.481499981880188,6.539199981689453,0.0911033066797593,693800,2024-11-21 00:00:00-05:00
GLNG,Golar LNG Limited,Mid caps,Mid caps,0.5280711506392575,0.5280711506392575,3762317091.999999,35.98,36.17,5.285729237532053,Marine shipping,36.86000061035156,53.014562407742496,35.236000061035156,36.39050006866455,36.59319988250732,-0.34354587921776414,1273700,2024-11-21 00:00:00-05:00
