Symbol,Description,Pre-market Change %,Pre-market Gap %,marketCapType,Market capitalization,Price,Pre-market Open,Industry,Index,Sector,Exchange,Recent earnings date,Upcoming earnings date,Float shares outstanding,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Relative Volume 1 day,Relative Volume 5 minutes,Relative Volume 30 minutes,Relative Volume at Time
SAM,"Boston Beer Company, Inc. (The)",0.0230013472217636,0.0230013472217636,Mid caps,3495154090.0,304.33,304.4,Beverages: alcoholic,"S&P MidCap 400, Russell 3000, Russell 1000",Consumer non-durables,NYSE,2024-10-24,2025-02-12,8871563.63896,160105.7,141747.1,131872.6,1.1169255534664306,8.069000062613487,8.925563802455038,1.2416231087725018
SXT,Sensient Technologies Corporation,1.6790809241257576,1.6790809241257576,Mid caps,3356507697.0000005,79.21,80.54,Food: specialty/candy,"Russell 2000, Russell 3000, Mini-Russell 2000",Consumer non-durables,NYSE,2024-10-25,2025-02-07,35454910.410399996,108920.2,115486.7,142947.54444444444,2.7285233739704036,4.53806767586821,5.893117284739438,2.363934684538102
HCC,"Warrior Met Coal, Inc.",0.6551613934164329,0.1917545541706688,Mid caps,3273605101.0,62.58,62.7,Coal,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Energy minerals,NYSE,2024-08-01,2024-10-30,51345149.0994,623589.2,698279.1,762159.2888888889,1.0741841310860434,8.59456433857827,6.221023566429076,0.9966354224038076
ARLP,"Alliance Resource Partners, L.P.",0.5878431372548973,0.1568627450980358,Mid caps,3265580521.0,25.5,25.54,Coal,"NASDAQ Composite, NASDAQ Industrials",Energy minerals,NASDAQ,2024-10-28,2025-02-03,88546805.09400001,207631.2,211380.63333333333,273748.76666666666,3.2517494566623624,3.260774176316844,2.036483171961458,3.663626459790859
LIF,"Life360, Inc.",2.208058274527655,2.208058274527655,Mid caps,3256759336.0,43.93,44.9,Packaged software,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, NASDAQ Computer, Mini-Russell 2000",Technology services,NASDAQ,2024-08-08,2024-11-12,63804904.6912,137507.8,209003.33333333337,234171.8111111111,1.0614826164599571,2.358684587739161,15.029642978401109,1.3200436466661989
RIOT,"Riot Platforms, Inc.",2.892992424242427,3.693181818181807,Mid caps,3205214073.0,10.56,10.95,Information technology services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",Technology services,NASDAQ,2024-07-31,2024-10-30,279057233.884,21435668.8,20042321.633333333,19860582.644444443,1.4692726042130335,2.2283400882460027,1.9539232689176893,1.368881367191066
CLSK,"CleanSpark, Inc.",4.860557768924298,3.904382470119509,Mid caps,3176859358.0,12.55,13.04,Data processing services,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Computer, Mini-Russell 2000",Technology services,NASDAQ,2024-08-09,2024-12-18,244457232.24,35642374.3,25992136.733333334,25916814.222222224,1.2433595857529407,2.152643505993265,2.190119920749549,1.2685950094611582
ATKR,Atkore Inc.,0.5895023239995582,0.5895023239995582,Mid caps,3163627874.0,88.21,88.73,Electrical products,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Producer manufacturing,NYSE,2024-08-06,2024-11-21,35334117.628199995,495085.1,550587.1,743860.9333333333,0.8650096208208247,11.173739373869108,11.4736958443855,0.5263846146737272
PTEN,"Patterson-UTI Energy, Inc.",0.5012531328320695,0.0,Mid caps,3136537448.9999995,7.98,7.98,Contract drilling,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",Industrial services,NASDAQ,2024-10-23,2025-02-06,354525990.34999996,10921693.7,8856689.7,7925711.7,1.0331724499089467,6.110046066479144,1.9091215918081088,0.9590066773050668
MLCO,Melco Resorts & Entertainment Limited,0.1430615164520713,0.2861230329041426,Mid caps,3078550457.0,6.99,7.01,Casinos/Gaming,"NASDAQ Composite, NASDAQ Industrials",Consumer services,NASDAQ,2024-08-13,2024-11-05,440147287.935861,2169279.4,3537450.8333333335,3423138.9,0.7364035673032313,10.00683408237965,2.6057445801541137,0.732750832127132
SID,Companhia Siderurgica Nacional S.A.,1.408450704225364,0.9389671361502356,Mid caps,2783083624.825,2.13,2.15,Steel,,Non-energy minerals,NYSE,2024-08-12,2024-11-12,1325989217.1599998,1983350.9,2338395.1,1721783.3444444444,2.56772600182756,3.260435051956098,6.0677838600679515,0.6928439724021792
VCYT,"Veracyte, Inc.",0.0586166471277934,0.0,Mid caps,2620829663.0,34.12,34.12,Medical specialties,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-08-06,2024-11-06,75650547.4238,595910.7,746064.7,893983.3777777777,1.4279305829855622,13.68800926031004,4.177828131547499,1.1275642171116875
SDRL,Seadrill Limited,0.079093066174535,0.079093066174535,Mid caps,2601836486.9999995,37.93,37.96,Contract drilling,"Russell 2000, Russell 3000, Mini-Russell 2000",Industrial services,NYSE,2024-08-05,2024-11-12,65186007.640152,1315671.3,1158100.066666667,1024539.8,0.8408309648765208,4.972528934808707,5.389597775471353,0.7131267856745858
RUM,Rumble Inc.,3.703703703703693,2.1604938271604888,Mid caps,2523674523.0,6.48,6.62,Internet software/Services,"NASDAQ Composite, Nasdaq US Small Cap Growth, NASDAQ Computer",Technology services,NASDAQ,2024-08-12,2024-11-12,73886908.75999999,3355287.5,1644099.2666666666,1466222.2555555557,2.106584752421538,2.5912213925691745,1.1133844447506511,2.17816050419078
WB,Weibo Corporation,0.1042752867570363,0.0,Mid caps,2275333944.77514,9.59,9.59,Internet software/Services,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Computer",Technology services,NASDAQ,2024-08-22,2024-11-14,155425360.545,1377718.1,2884521.1666666665,1891881.177777778,0.743485545242487,9.113622141145076,3.408908761125406,0.7148888114604075
GEO,Geo Group Inc (The) REIT,0.3694581280788317,0.1231527093596251,Mid caps,2267591743.0,16.24,16.26,Miscellaneous commercial services,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Commercial services,NYSE,2024-08-07,2024-11-07,132434307.58,2104315.8,1908899.9,2264157.9111111113,1.866087869907884,6.444107007279711,3.466444430013493,1.9078968525067583
CAKE,The Cheesecake Factory Incorporated,0.2312138728323732,0.8554913294797628,Mid caps,2200214566.0,43.25,43.62,Restaurants,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",Consumer services,NASDAQ,2024-07-31,2024-10-29,47056294.768,1153610.4,991119.1666666666,959401.3777777776,1.0991534875358664,6.5238803196431885,5.4180855365398575,0.960346999892282
IREN,Iris Energy Limited,4.036697247706417,3.2110091743119233,Mid caps,2047557532.0,10.9,11.25,Data processing services,"NASDAQ Composite, NASDAQ Computer",Technology services,NASDAQ,2024-08-28,2024-11-27,172034466.272032,19026699.2,15821127.966666669,15677115.288888888,1.2448080227088616,3.196650088219966,1.6844722414930875,1.21302287035333
HRMY,"Harmony Biosciences Holdings, Inc.",6.01398601398601,0.6993006993006993,Mid caps,2031842216.0,35.75,36.0,Pharmaceuticals: major,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-10-29,2025-02-19,30674369.6064,516532.0,600242.2,455529.97777777776,1.7407096179630068,5.998904503797448,8.117684121405436,2.0316611573730214
WS,"Worthington Steel, Inc.",0.1758793969849253,0.1758793969849253,Mid caps,2020891329.0,39.8,39.87,Steel,"Russell 2000, Russell 3000, Mini-Russell 2000",Non-energy minerals,NYSE,2024-09-25,2024-12-19,32163817.586865,178794.9,223698.86666666667,224617.54444444444,2.051600787320426,5.280193852824895,5.952165204120564,2.588340204075666
RXRX,"Recursion Pharmaceuticals, Inc.",0.5822416302765653,0.7278020378457034,Mid caps,2001642199.0,6.87,6.92,Biotechnology,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Biotechnology, Mini-Russell 2000",Health technology,NASDAQ,2024-08-08,2024-11-06,226824773.122,3738037.6,4726048.133333334,5426895.855555556,1.247697507520849,5.472451255364444,3.4317494221346956,1.21552098623575
